classification,win_rate,avg_pnl,median_pnl,total_pnl,trades
Extreme Fear,0.7621564482029598,71.02731582644628,6.38805,739110.24849,10406
Fear,0.8728864734299517,112.62598770940687,6.3504830000000005,3357155.441642,29808
Neutral,0.8238889806707418,71.19999314664905,4.583458,1292920.67555,18159
Greed,0.7689068954559898,85.40392727005879,4.9276,2150129.272951,25176
Extreme Greed,0.8916702632714717,130.20530910051312,8.53074,2715171.310673,20853
